recipe,file,status,assumed_portions,old_kcal,new_kcal,kcal_delta_pct,old_p,new_p,old_c,new_c,old_f,new_f,unresolved
"Lemon herb Whole Eggs with Cabbage (Shredded) & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,458,441,-4,36.4,38.8,10,13.4,28.6,26.2,""
"Italian herb Bacon (Smoked Back) with Cauliflower Rice & Avocado Slices","20260701120000_seed_owner_keto_meals.sql",apply,2,955,908,-5,47.4,40.4,6.8,14.6,80.8,79.6,""
"Mexican-style Cod Fillet with Cabbage (Shredded) & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,454,415,-9,43.1,35.3,8,11.5,25.7,26.2,""
"Garlic & chilli Halloumi with Celeriac Mash & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,828,806,-3,51.4,45.4,14.5,20.8,61.6,61.2,""
"Cajun Salmon Fillet with Cabbage (Shredded) & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,554,561,1,58,52.3,8,12.6,32.2,32.8,""
"Lemon herb Halloumi with Broccoli Florets & Leeks","20260701120000_seed_owner_keto_meals.sql",apply,2,866,864,-0,58,50.5,17.6,32.9,63.5,62,""
"Garlic & chilli Whole Eggs with Swede (Mashed) & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,447,433,-3,26.4,28.4,14.7,18.7,30.2,27.7,""
"Garlic & chilli Turkey Breast with Shirataki Noodles & Leeks","20260701120000_seed_owner_keto_meals.sql",apply,2,225,258,15,26.2,24,7,21,9.3,9.6,""
"Moroccan-spiced Turkey Breast with Swede (Mashed) & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,258,257,-0,23.9,22.4,6.7,13.2,13.5,13.8,""
"Lemon herb King Prawns with Cauliflower Rice & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,247,244,-1,20.4,18.3,4.6,9.7,15.4,15.9,""
"Asian-inspired Tuna Steak with Broccoli Florets & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,233,268,15,28,28.3,9.5,11.2,8.8,13.6,""
"Cajun Turkey Breast with Swede (Mashed) & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,211,196,-7,27.6,24.9,6.9,9.6,6.3,6.8,""
"Italian herb Chicken Thigh (Skin-On) with Cauliflower Rice & Leeks","20260701120000_seed_owner_keto_meals.sql",apply,2,309,331,7,23.5,26.7,7.7,20.4,19.7,16.7,""
"Lemon herb Lean Beef Mince (5%) with Celeriac Mash & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,271,401,48,25.8,25.9,10.7,15,13.3,27.1,""
"Mediterranean Halloumi with Swede (Mashed) & Courgette","20260701120000_seed_owner_keto_meals.sql",apply,2,409,391,-4,24.8,22.2,10.3,14.6,29,28.6,""
"Mediterranean Bacon (Smoked Back) with Cauliflower Rice & Cauliflower","20260701120000_seed_owner_keto_meals.sql",apply,2,383,310,-19,26.9,24.9,4.4,10,26.9,20.1,""
"Cajun Haddock Fillet with Broccoli Florets & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,211,207,-2,21.5,20.6,9.4,14.5,8.8,9.3,""
"Mediterranean King Prawns with Swede (Mashed) & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,230,229,-0,19.9,18.1,6.9,12.6,12.5,13.1,""
"Peri-peri Pork Belly (Slow-Roasted) with Turnip (Roasted) & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,441,548,24,18.7,12.8,8.8,13.9,35.6,50.3,""
"Mexican-style Lean Beef Mince (5%) with Shirataki Noodles & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,226,294,30,25.4,27.2,4,6.8,10.6,17.5,""
"Cajun Lamb Leg with Broccoli Florets & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,236,265,12,22.6,25.8,6.8,10.1,12.5,15.1,""
"Italian herb Lamb Leg with Celeriac Mash & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,254,264,4,26.8,27.4,7.4,9.7,11.7,13.2,""
"BBQ Mackerel with Courgette Noodles (Zoodles) & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,262,260,-1,16.2,17.1,4.3,6.2,18.5,18.8,""
"Moroccan-spiced Salmon Fillet with Cabbage (Shredded) & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,269,335,25,21.1,18.1,5.4,11.1,17.7,24.6,""
"Moroccan-spiced Lamb Leg with Shirataki Noodles & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,257,286,11,23.2,26.2,7.1,11.1,14.7,17,""
"Lemon herb Halloumi with Turnip (Roasted) & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,446,448,0,22.1,19.3,6.2,15.6,35.9,35.2,""
"Garlic & chilli King Prawns with Cauliflower Rice & Red Onion","20260701120000_seed_owner_keto_meals.sql",apply,2,182,199,9,20.7,19,5,14.7,7.6,7.9,""
"Asian-inspired Whole Eggs with Cauliflower Rice & Chestnut Mushrooms","20260701120000_seed_owner_keto_meals.sql",apply,2,267,311,16,11.7,15.3,5.3,7.5,21.1,25.4,""
"Garlic & chilli Chicken Breast with Broccoli Florets & Cherry Tomatoes","20260701120000_seed_owner_keto_meals.sql",apply,2,196,203,4,26.8,28.1,7.6,11.1,5.4,5.6,""
"Italian herb Lean Beef Mince (5%) with Broccoli Florets & Tenderstem Broccoli","20260701120000_seed_owner_keto_meals.sql",apply,2,231,303,31,24.2,26.1,6.8,11,10.9,17.7,""
"BBQ Beef Ribeye Steak with Celeriac Mash & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,329,314,-5,21.2,21.7,8,9.6,22.9,21.1,""
"Lemon herb Beef Ribeye Steak with Cauliflower Rice & Asparagus Tips","20260701120000_seed_owner_keto_meals.sql",apply,2,375,362,-3,20.5,22.7,4.4,7.6,29.9,27.7,""
"Creamy herb Cod Fillet with Cauliflower Rice & Cucumber","20260701120000_seed_owner_keto_meals.sql",apply,2,227,272,20,19.7,16.7,4.4,7.2,12.9,20.2,""
"Peri-peri Halloumi with Courgette Noodles (Zoodles) & Olives","20260701120000_seed_owner_keto_meals.sql",apply,2,372,416,12,28,25.1,4.3,10.9,25.3,31.5,""
"BBQ Lean Beef Mince (5%) with Shirataki Noodles & Mixed Peppers","20260701120000_seed_owner_keto_meals.sql",apply,2,189,256,35,21.9,22.2,5.2,9.1,7.9,14.6,""
"Indian-spiced Sardines with Broccoli Florets & Kale","20260701120000_seed_owner_keto_meals.sql",apply,2,294,316,7,24.8,28.1,9.5,12.5,16.5,18.9,""
"Creamy herb Pork Tenderloin with Broccoli Florets & Celery","20260701120000_seed_owner_keto_meals.sql",apply,2,215,280,30,26.2,27.2,6.4,7.7,8,15.4,""
"Asian-inspired Firm Tofu with Cauliflower Rice & Baby Spinach","20260701130000_seed_veg_df_keto_pack.sql",apply,2,400,446,12,30,36.3,13,15.3,27,31.2,""
"Mediterranean Firm Tofu with Cabbage (Shredded) & Olives","20260701130000_seed_veg_df_keto_pack.sql",apply,2,420,415,-1,27,28.7,12,15.1,30,30.2,""
"Italian herb Whole Eggs with Broccoli Florets & Cherry Tomatoes","20260701130000_seed_veg_df_keto_pack.sql",apply,2,460,508,10,25,28.5,12,13.1,35,39.6,""
"Moroccan-spiced Firm Tofu with Courgette Noodles (Zoodles) & Kale","20260701130000_seed_veg_df_keto_pack.sql",apply,2,395,525,33,28,34.2,11,16.6,26,40.5,""
"Peri-peri Egg Whites with Cauliflower Rice & Mixed Peppers","20260701130000_seed_veg_df_keto_pack.sql",apply,2,380,387,2,30,26.2,11,18.6,24,25,""
"Cajun Firm Tofu with Broccoli Florets & Red Onion","20260701130000_seed_veg_df_keto_pack.sql",apply,2,440,543,23,29,32.2,13,20.3,30,41.8,""
"Garlic & chilli Whole Eggs with Cabbage (Shredded) & Baby Spinach","20260701130000_seed_veg_df_keto_pack.sql",apply,2,485,527,9,25,24.5,10,18.5,38,41.7,""
"Teriyaki Firm Tofu with Courgette Noodles (Zoodles) & Asparagus Tips","20260701130000_seed_veg_df_keto_pack.sql",apply,2,390,455,17,28,32.3,13,19.2,25,31.6,""
"Lemon herb Egg Whites with Cauliflower Rice & Chestnut Mushrooms","20260701130000_seed_veg_df_keto_pack.sql",apply,2,360,382,6,27,28.2,9,15.5,23,25,""
"Indian-spiced Firm Tofu with Cabbage (Shredded) & Cherry Tomatoes","20260701130000_seed_veg_df_keto_pack.sql",apply,2,415,445,7,27,28.4,13,15,28,33.8,""
"Mediterranean Firm Tofu with Courgette Noodles (Zoodles) & Olives","20260701130000_seed_veg_df_keto_pack.sql",apply,2,580,634,9,32,35.4,13,20.9,44,51,""
"Moroccan-spiced Tempeh with Cauliflower Rice & Kale","20260701130000_seed_veg_df_keto_pack.sql",apply,2,605,777,28,34,41,14,32.5,42,60.9,""
"Cajun Whole Eggs with Broccoli Florets & Chestnut Mushrooms","20260701130000_seed_veg_df_keto_pack.sql",apply,2,560,764,36,28,39,11,21.4,44,61.8,""
"Italian herb Firm Tofu with Cabbage (Shredded) & Cherry Tomatoes","20260701130000_seed_veg_df_keto_pack.sql",apply,2,630,628,-0,33,34.6,13,22.5,48,50,""
"Asian-inspired Tempeh with Courgette Noodles (Zoodles) & Baby Spinach","20260701130000_seed_veg_df_keto_pack.sql",apply,2,585,627,7,34,44.3,14,24.2,41,45.2,""
"Peri-peri Firm Tofu with Cauliflower Rice & Asparagus Tips","20260701130000_seed_veg_df_keto_pack.sql",apply,2,620,724,17,33,42.4,12,24,48,57.9,""
"Teriyaki Egg Whites with Cauliflower Rice & Tenderstem Broccoli","20260701130000_seed_veg_df_keto_pack.sql",apply,2,545,521,-4,30,37.5,12,26.2,40,32.9,""
"BBQ Firm Tofu with Broccoli Florets & Red Onion","20260701130000_seed_veg_df_keto_pack.sql",apply,2,590,744,26,31,40.1,13,29.1,44,58.6,""
"Peri-peri Egg Whites with Cucumber & Olives","20260701130000_seed_veg_df_keto_pack.sql",apply,2,230,182,-21,17,14,6,5.9,15,11.7,""
"Mediterranean Firm Tofu with Cherry Tomatoes","20260701130000_seed_veg_df_keto_pack.sql",apply,2,270,288,7,18,21.4,7,7.8,18,21.4,""
"Garlic & chilli Whole Eggs with Baby Spinach","20260701130000_seed_veg_df_keto_pack.sql",apply,2,250,323,29,15,16.1,4,9,19,25.9,""
"Asian-inspired Firm Tofu with Cucumber","20260701130000_seed_veg_df_keto_pack.sql",apply,2,290,340,17,17,25.4,6,8.3,21,25.5,""
"Italian herb Egg Whites with Cherry Tomatoes","20260701130000_seed_veg_df_keto_pack.sql",apply,2,200,237,19,18,20.3,6,5.4,12,15.4,""
"Moroccan-spiced Firm Tofu with Kale","20260701130000_seed_veg_df_keto_pack.sql",apply,2,310,419,35,19,26,8,13.2,22,33.2,""
"Cajun Whole Eggs with Mixed Peppers","20260701130000_seed_veg_df_keto_pack.sql",apply,2,275,322,17,15,14.5,8,10,20,26,""
"Lemon herb Firm Tofu with Cucumber","20260701130000_seed_veg_df_keto_pack.sql",apply,2,250,339,36,17,21.8,5,10.3,18,26.5,""
"Teriyaki Egg Whites with Asparagus Tips","20260701130000_seed_veg_df_keto_pack.sql",apply,2,195,262,34,17,22.3,6,9.8,11,15.3,""
"Indian-spiced Firm Tofu with Baby Spinach","20260701130000_seed_veg_df_keto_pack.sql",apply,2,305,401,31,19,24.4,7,11.5,22,32.3,""
"BBQ Whole Eggs with Red Onion","20260701130000_seed_veg_df_keto_pack.sql",apply,2,290,383,32,15,16.4,8,12.8,22,30.9,""
"Mediterranean Egg Whites with Olives","20260701130000_seed_veg_df_keto_pack.sql",apply,2,245,200,-18,17,18,5,5.3,17,11.9,""
"Peri-peri Egg Whites with Sweet Potato & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,334,338,1,20,21.1,36.3,39,12.4,12.7,""
"Teriyaki Egg Whites with Quinoa & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,369,412,12,26,27.8,40.8,48,10.3,12.6,""
"Asian-inspired 0% Greek Yogurt with Sweet Potato & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,317,359,13,23.2,25,33.7,33.9,9,14.3,""
"Mexican-style 0% Greek Yogurt with Quinoa & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,358,381,6,26.5,28.4,34.9,41.1,11.1,11.7,""
"BBQ Cottage Cheese with Quinoa & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,463,440,-5,28,30.9,39.3,40.3,21.2,18.6,""
"Mexican-style Salmon Fillet with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,484,502,4,40.4,36.3,18.4,19.7,28.2,30.1,""
"Garlic & chilli Salmon Fillet with Rolled Oats & Courgette","20260702000001_seed_owner_meals.sql",apply,2,484,485,0,40.4,34.6,18.4,19.5,28.2,28.5,""
"Mexican-style 0% Greek Yogurt with Sweet Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,283,282,-0,20.4,22.6,34.4,34.2,6,6.6,""
"Mexican-style Turkey Breast with Sweet Potato & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,478,455,-5,51.7,45.1,33,36,14.9,15.6,""
"Cajun Salmon Fillet with Rolled Oats & Peas","20260702000001_seed_owner_meals.sql",apply,2,569,631,11,46.6,44.9,23.4,34.5,33.7,34.3,""
"Peri-peri 0% Greek Yogurt with Wholegrain Bread & Carrots","20260702000001_seed_owner_meals.sql",apply,2,294,392,33,20.2,26.8,29.8,48.9,9.3,10.5,""
"Asian-inspired Turkey Breast with Rolled Oats & Courgette","20260702000001_seed_owner_meals.sql",apply,2,413,426,3,52.6,46.7,18.7,18.6,12.2,17.7,""
"Mexican-style Salmon Fillet with Rolled Oats & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,523,536,2,46.6,42.2,18.7,21.9,29.4,30.2,""
"Indian-spiced 0% Greek Yogurt with Rolled Oats & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,343,352,3,23.1,25.1,29.3,32.2,14.8,15.5,""
"Cajun Salmon Fillet with Wholegrain Bread & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,605,690,14,46.9,45.9,29.7,45.1,34.7,36.3,""
"Italian herb Salmon Fillet with Rolled Oats & Courgette","20260702000001_seed_owner_meals.sql",apply,2,488,481,-1,43.9,37.8,19.4,18.6,26.4,26.7,""
"Peri-peri 0% Greek Yogurt with Sweet Potato & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,364,367,1,23.2,25.6,38.4,40.5,13.2,13.5,""
"Teriyaki Salmon Fillet with Sweet Potato & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,562,610,9,43.7,39.6,38.5,46,27.4,29.7,""
"Indian-spiced 0% Greek Yogurt with Quinoa & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,406,409,1,24.5,27.5,39.9,40.6,16.4,16.9,""
"Asian-inspired Cottage Cheese with Rolled Oats & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,404,436,8,25.6,27.5,28.5,32.4,20.6,23.1,""
"Indian-spiced Cottage Cheese with Sweet Potato & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,397,398,0,22.7,24.1,43.6,51.1,14.3,11.9,""
"Indian-spiced Egg Whites with Sweet Potato & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,355,355,0,22.7,23.9,34.3,35.1,13.9,14.6,""
"BBQ Whole Eggs with Sweet Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,508,506,-0,27.7,28,34.7,39.7,29.1,27.1,""
"Cajun Egg Whites with Quinoa & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,396,394,-1,26,27.2,35.5,36.5,16.1,16.5,""
"Mexican-style Turkey Breast with Wholegrain Bread & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,412,460,12,52.2,50.7,25.4,38.8,9.2,10.9,""
"Garlic & chilli Salmon Fillet with Quinoa & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,626,627,0,48,42.3,34.7,35.6,34.3,34.5,""
"BBQ Salmon Fillet with Sweet Potato & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,506,504,-0,42.9,38.3,29,28.6,24.9,25.3,""
"Mediterranean 0% Greek Yogurt with Rolled Oats & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,350,351,0,22.9,25.8,29.1,30.3,15.8,16,""
"Peri-peri Egg Whites with Rolled Oats & Kale","20260702000001_seed_owner_meals.sql",apply,2,250,263,5,19.4,22.5,19.5,21,9,10.5,""
"Moroccan-spiced Egg Whites with Sweet Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,358,379,6,23.4,24.4,34.3,41.5,13.9,14.1,""
"Peri-peri Whole Eggs with Sweet Potato & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,505,491,-3,26.7,27.1,35.2,37.7,29.1,27.2,""
"Peri-peri Salmon Fillet with Wholegrain Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,522,596,14,46.2,45.2,25.4,38,26.4,27.8,""
"Mexican-style Salmon Fillet with Wholegrain Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,584,668,14,44.3,45.3,31.6,44.1,33.2,35.1,""
"BBQ Cottage Cheese with Quinoa & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,438,407,-7,26,26.7,44.8,45.8,16.5,13.6,""
"Teriyaki Whole Eggs with Wholegrain Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,523,618,18,30.9,37.6,31.1,47.2,30.7,31.8,""
"BBQ Lean Beef Mince (5%) with White Basmati Rice & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,705,872,24,63.4,63.6,60,66.5,19.9,36,""
"Cajun Pork Tenderloin with White Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,632,654,3,61.4,62.6,46.7,53.3,20.7,21.2,""
"Garlic & chilli Firm Tofu with Couscous & Courgette","20260702000001_seed_owner_meals.sql",apply,2,681,682,0,46.6,48.2,69.1,71.8,26.2,25.9,""
"Garlic & chilli 0% Greek Yogurt with Butter Beans & Peas","20260702000001_seed_owner_meals.sql",apply,2,490,526,7,40.7,42.4,54.1,61.5,14.4,14.2,""
"BBQ Chicken Breast with Wholegrain Bread & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,635,615,-3,71.5,73.4,41.4,38.8,17.3,17.2,""
"Indian-spiced Edamame with Wholewheat Pasta & Kale","20260702000001_seed_owner_meals.sql",apply,2,687,781,14,39.9,46.3,88.4,97.4,24.9,28.1,""
"Teriyaki Black Beans with White Potato & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,524,558,6,25.9,27.9,90.4,94.5,6.5,8.7,""
"Moroccan-spiced Tuna Steak with Soba Noodles & Peas","20260702000001_seed_owner_meals.sql",apply,2,654,669,2,75,71.8,55.2,66.8,15.8,14.1,""
"Asian-inspired Pork Tenderloin with Quinoa & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,641,683,7,65.2,66.6,51.2,51.4,16.4,21.7,""
"Teriyaki Paneer with Butter Beans & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,819,885,8,51.4,52.3,43.8,48.4,52.1,53.5,""
"Mexican-style Egg Whites with Rye Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,389,408,5,33.4,35.6,41.6,45.3,7.9,9.1,""
"Teriyaki Seitan with Bulgur Wheat & Peas","20260702000001_seed_owner_meals.sql",apply,2,649,649,0,56.8,63,72.9,69,11.4,13.6,""
"Teriyaki Cod Fillet with Quinoa & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,646,648,0,61.9,55.3,55.2,62.7,18.1,20.4,""
"Indian-spiced Egg Whites with Bulgur Wheat & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,433,436,1,33.1,35.6,56.8,58.5,8.6,9.1,""
"Mexican-style Lamb Leg with Wholegrain Bread & Courgette","20260702000001_seed_owner_meals.sql",apply,2,748,749,0,64.7,67.2,46.9,42.3,33.6,36,""
"Lemon herb Paneer with Couscous & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,953,1007,6,49.4,54.1,62.3,66.9,57.9,58.1,""
"Lemon herb Tuna Steak with Rye Bread & Peas","20260702000001_seed_owner_meals.sql",apply,2,611,636,4,67.5,62.6,46.4,59.9,16.8,16.1,""
"Teriyaki Paneer with Quinoa & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,966,1085,12,51.9,57.8,57.6,72.5,60.7,62.8,""
"Italian herb Cooked Lentils with Wholewheat Tortilla Wrap & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,600,534,-11,33.1,31.6,83.9,73.6,14.1,13.6,""
"Garlic & chilli Chicken Breast with Butter Beans & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,685,681,-1,79,75.9,48.6,50.9,20.3,19.8,""
"Mediterranean Cooked Lentils with Wholewheat Tortilla Wrap & Courgette","20260702000001_seed_owner_meals.sql",apply,2,646,577,-11,33.1,31,88.6,77.7,18.4,17.9,""
"Cajun King Prawns with Soba Noodles & Chestnut Mushrooms","20260702000001_seed_owner_meals.sql",apply,2,542,516,-5,65,61.1,50.9,50.9,9.5,10,""
"Lemon herb Pork Tenderloin with Rolled Oats & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,595,589,-1,58.9,60.5,37.6,36.8,22.1,22.3,""
"Indian-spiced Whole Eggs with White Basmati Rice & Peas","20260702000001_seed_owner_meals.sql",apply,2,748,808,8,38.2,43.2,66.2,82.9,35.2,33,""
"Lemon herb Chicken Breast with Rye Bread & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,649,666,3,76.2,76.1,39.5,45.4,17.7,18.4,""
"BBQ Firm Tofu with Quinoa & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,639,631,-1,43.7,45.1,54.2,54.7,29.2,28.8,""
"Lemon herb Seitan with Wholewheat Pasta & Cucumber","20260702000001_seed_owner_meals.sql",apply,2,823,794,-4,66.9,68.8,96.9,87.1,18.9,19.7,""
"Mediterranean Black Beans with Soba Noodles & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,654,674,3,35,36.6,103.2,109.9,14.2,13.9,""
"Italian herb Chicken Breast with Soba Noodles & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,694,710,2,77,78.7,60.7,66.1,15.6,15.3,""
"Garlic & chilli Firm Tofu with Wholewheat Tortilla Wrap & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,617,561,-9,42.8,40.8,47.6,41.8,30.1,28.9,""
"BBQ Salmon Fillet with Butter Beans & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,771,749,-3,67,54.2,48.6,46.6,39.1,38.5,""
"Mediterranean Cooked Lentils with White Potato & Carrots","20260702000001_seed_owner_meals.sql",apply,2,527,548,4,28.7,29.7,81.7,88.7,9.3,9.6,""
"Teriyaki Quorn Mince with Soba Noodles & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,509,545,7,42.3,46.3,61.2,68.4,11.9,11.6,""
"Peri-peri Black Beans with Rolled Oats & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,594,612,3,27.5,28.7,83.7,90.1,17.6,17.7,""
"Garlic & chilli Mackerel with Butter Beans & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,782,768,-2,58.7,56.2,46.9,47.3,41.4,41.1,""
"Garlic & chilli Egg Whites with Rye Bread & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,470,498,6,36.2,37.2,45.6,53.8,15.1,15.7,""
"Mediterranean Mackerel with Sweet Potato & Kale","20260702000001_seed_owner_meals.sql",apply,2,776,791,2,46.5,49.6,53.3,55,41.5,43.3,""
"Mexican-style Egg Whites with White Basmati Rice & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,544,577,6,32.2,35.2,65.7,75.4,14.6,15.3,""
"BBQ Black Beans with Rye Bread & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,604,624,3,30.2,30.7,97.7,103.9,11,11.5,""
"Mexican-style Whole Eggs with Rye Bread & Asparagus Tips","20260702000001_seed_owner_meals.sql",apply,2,650,642,-1,38.2,38.8,51.9,55.1,32,29.9,""
"Teriyaki Cooked Lentils with Wholewheat Pasta & Carrots","20260702000001_seed_owner_meals.sql",apply,2,677,812,20,35.9,38.7,108.4,129.1,15.7,18.8,""
"Italian herb Lamb Leg with Soba Noodles & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,750,773,3,67,68.6,55.2,57.3,31.2,33,""
"Italian herb Firm Tofu with Couscous & Carrots","20260702000001_seed_owner_meals.sql",apply,2,706,723,2,48.6,49.6,63.6,70.9,30.9,30.6,""
"Asian-inspired Paneer with Wholegrain Bread & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,839,931,11,49,57.5,44.8,44.8,52.3,57.6,""
"Cajun Mackerel with Wholegrain Bread & Tenderstem Broccoli","20260702000001_seed_owner_meals.sql",apply,2,719,710,-1,51,54.8,42.4,41.2,36.1,36.5,""
"Italian herb Cooked Lentils with Rye Bread & Peas","20260702000001_seed_owner_meals.sql",apply,2,566,610,8,32.3,35.6,89,97.5,8.6,9.2,""
"Indian-spiced Pork Tenderloin with Wholewheat Tortilla Wrap & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,676,578,-14,67.2,63.9,49,33,20.5,19.5,""
"Garlic & chilli Chicken Breast with Wholewheat Pasta & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,760,856,13,81.5,85,71.5,85.7,17.7,19,""
"Mexican-style Cooked Chickpeas with Sweet Potato & Cauliflower","20260702000001_seed_owner_meals.sql",apply,2,663,670,1,23.8,25.8,113.4,115.3,13,13.7,""
"Garlic & chilli Pork Tenderloin with Butter Beans & Red Onion","20260702000001_seed_owner_meals.sql",apply,2,714,706,-1,80,76.2,52,54,21.5,20.8,""
"Asian-inspired Haddock Fillet with Brown Rice & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,668,698,4,58,50.4,67,78.1,16.1,21.4,""
"Mediterranean Cooked Lentils with Wholegrain Bread & Peas","20260702000001_seed_owner_meals.sql",apply,2,656,667,2,32.2,37.4,97.7,99,16.4,16.1,""
"Peri-peri Paneer with Wholewheat Tortilla Wrap & Baby Spinach","20260702000001_seed_owner_meals.sql",apply,2,1035,1005,-3,54.6,57.4,56.9,45.6,67.7,66.5,""
"Lemon herb Seitan with Wholegrain Bread & Mixed Salad Leaves","20260702000001_seed_owner_meals.sql",apply,2,838,674,-20,72,73.1,82.3,50.2,20.4,19.6,""
"Peri-peri Cottage Cheese with Soba Noodles & Cherry Tomatoes","20260702000001_seed_owner_meals.sql",apply,2,633,598,-6,41.7,43.2,69.5,72.5,22.7,18,""
"Moroccan-spiced Cooked Lentils with Rolled Oats & Mixed Peppers","20260702000001_seed_owner_meals.sql",apply,2,609,615,1,30.8,32.1,83.3,86.9,17.9,18.2,""
"Cajun Paneer with White Basmati Rice & Green Beans","20260702000001_seed_owner_meals.sql",apply,2,1058,1160,10,52.6,59.1,74.1,90.6,61.7,62,""
"BBQ Salmon Fillet with Bulgur Wheat & Courgette","20260702000001_seed_owner_meals.sql",apply,2,835,827,-1,68,58.2,56,56.1,41.6,41.9,""
"Peri-peri Egg Whites with White Potato & Courgette","20260702000001_seed_owner_meals.sql",apply,2,484,479,-1,34.2,35.5,53.3,53.5,14.2,14.5,""
